play_id,time_to_throw,pressure_applied,time_to_pressure,down,distance,field_position,score_diff,quarter,def_alignment,rushers,completion,yards_gained,sack,interception,time_bucket
1,2.99,0,0.56,2,11.1,69.20307982076633,13.33439166032965,1,3-4 Base,4,0,0.0,0,0,Extended (2.5-3.0s)
2,1.87,0,2.44,1,3.2,76.6671706780953,10.796981834765567,1,Nickel,4,1,2.4,0,0,Quick (<2.0s)
3,1.73,1,1.64,3,16.9,86.41319142678515,-3.30445464599729,3,3-4 Base,4,0,0.0,0,0,Quick (<2.0s)
4,1.73,0,1.23,1,13.3,65.7546726462789,0.7204143598613004,1,Dime,4,1,2.7,0,0,Quick (<2.0s)
5,5.81,1,2.56,2,21.1,31.113827146397714,8.212387696803878,1,4-3 Base,6,0,0.0,0,0,Very Long (>3.0s)
6,3.58,1,0.34,3,7.4,83.27964196251699,11.93468428547208,2,Blitz,4,1,4.9,0,0,Very Long (>3.0s)
7,1.41,0,4.11,1,8.0,72.28203075283776,-9.071336497623554,4,4-3 Base,4,1,0.4,0,0,Quick (<2.0s)
8,3.09,1,1.36,3,4.5,43.199384360080415,2.1067741079213014,2,Blitz,4,0,0.0,0,0,Very Long (>3.0s)
9,2.5,1,4.71,3,9.8,68.9476255384966,6.495528894502819,2,Dime,5,1,4.7,0,0,Normal (2.0-2.5s)
10,0.27,1,2.67,4,4.1,83.09199894630278,1.4755258590743503,4,Dime,4,0,0.0,0,0,Quick (<2.0s)
11,0.84,1,0.42,3,3.3,92.80869182521444,-6.220434744420537,1,Blitz,4,0,0.0,0,0,Quick (<2.0s)
12,2.63,1,5.22,1,26.5,90.71163535631499,0.03092701675185356,3,4-3 Base,4,0,0.0,0,0,Extended (2.5-3.0s)
13,5.46,0,0.78,2,7.9,34.27950440877274,5.297299040236267,4,3-4 Base,6,1,4.3,0,0,Very Long (>3.0s)
14,1.74,1,1.3,1,12.1,42.95243423463636,-7.60651829016339,4,3-4 Base,5,1,2.7,0,0,Quick (<2.0s)
15,1.32,0,6.17,1,5.1,14.858294447963415,-11.972388392996313,1,3-4 Base,3,1,9.3,0,0,Quick (<2.0s)
16,2.27,1,1.99,1,30.2,27.278985831624137,20.595428218659446,2,Nickel,5,0,0.0,0,0,Normal (2.0-2.5s)
17,1.26,1,1.24,1,6.9,84.41790876382552,1.875297603029304,1,Nickel,4,0,0.0,0,0,Quick (<2.0s)
18,1.65,0,1.63,3,23.2,37.476493365142304,9.383503130243318,4,4-3 Base,4,1,0.9,0,0,Quick (<2.0s)
19,2.06,0,1.22,1,12.0,60.8497392735393,2.094962477282799,4,Nickel,3,1,20.9,0,0,Normal (2.0-2.5s)
20,0.8,0,3.41,2,8.8,64.936905647633,10.503174060369805,1,3-4 Base,5,1,9.4,0,0,Quick (<2.0s)
21,3.71,0,1.26,2,10.7,75.36463476289808,0.7917846297497264,3,Nickel,4,1,3.2,0,0,Very Long (>3.0s)
22,0.67,0,1.68,2,7.8,21.452002722106787,5.871134486556414,4,Blitz,5,0,0.0,0,0,Quick (<2.0s)
23,0.59,1,2.87,4,7.4,32.43318211529919,-11.095303570559183,1,Nickel,3,0,0.0,0,0,Quick (<2.0s)
